district,total_children,measured_children,measurement_efficiency,stunted_severe_n,stunted_severe_pct,stunted_moderate_n,stunted_moderate_pct,stunted_normal_n,stunted_normal_pct,underweight_severe_n,underweight_severe_pct,underweight_moderate_n,underweight_moderate_pct,underweight_normal_n,underweight_normal_pct,stunting_total_pct,underweight_total_pct,measurement_coverage_pct_x,normal_stunting_ratio,normal_underweight_ratio,total_children_0_5,measured_children_0_5,measurement_efficiency_0_5,stunted_severe_n_0_5,stunted_severe_pct_0_5,stunted_moderate_n_0_5,stunted_moderate_pct_0_5,stunted_normal_n_0_5,stunted_normal_pct_0_5,sam_(n),sam_(%),mam_(n),mam_(%),not_wasted_(n),not_wasted_(%),reference_data_not_found,underweight_severe_n_0_5,underweight_severe_pct_0_5,underweight_moderate_n_0_5,underweight_moderate_pct_0_5,underweight_normal_n_0_5,underweight_normal_pct_0_5,obese_(n),obese_(%),overweight_(n),overweight_(%),not_overweight_(n),not_overweight_(%),reference_data_not_found.1,stunting_total_pct_0_5,underweight_total_pct_0_5,measurement_coverage_pct_0_5,normal_stunting_ratio_0_5,normal_underweight_ratio_0_5,total_pregnant_women,hb_measured_pw,anaemic_pw,total_lactating_mothers,hb_measured_lm,anaemic_lm,total_children_(6months_-_5_years),hb_measured_child,anaemic_child,pw_anaemia_rate,lm_anaemia_rate,child_anaemia_rate,total_children_0_6m,lbw_children_0_6m,lbw_rate_pct,total_pw_x,pw_due_anc1,pw_completed_anc1,pw_due_anc2,pw_completed_anc2,pw_optimum_anc2,pw_due_anc3,pw_completed_anc3,pw_optimum_anc3,pw_due_anc4,pw_completed_anc4,pw_optimum_anc4,pw_optimum_latest,pw_hb_measured,pw_anaemic_latest,anc1_completion_pct,anc2_completion_pct,anc3_completion_pct,anc4_completion_pct,optimum_wg_latest_pct,pw_hb_measured_pct,pw_anaemia_latest_pct,total_ag_x,ag_measured,ag_measured_pct,ag_severely_thin,ag_thin,ag_normal,ag_overweight,ag_obese,ag_hb_measured,ag_anaemic,ag_underweight,ag_underweight_pct,ag_anaemia_rate,children_total_x,children_measured,children_measured_pct,aww_completed_80pct_me,measurement_coverage_pct_y,aww_80pct_me_share,total_aww,target_visits,visits_made,visit_coverage_pct,aww_60pct_hv,aww_60pct_hv_pct,project,sector,awc,total_beneficiary,total_pw_y,total_lm,children_6m_3y,children_3y_5y,children_5y_6y,sam_6m_3y,sam_3y_5y,suw_6m_3y,suw_3y_6y,sam_suw_6m_3y,sam_suw_3y_5y,total_ag_y,children_total_y,sam_total,suw_total,sam_suw_total,sam_ratio,suw_ratio,sam_suw_ratio,pw_share_pct,lm_share_pct,ag_share_pct,children_share_pct,total_awc,active_awc,inactive_awc,new_awc_month,inactive_awc_month,active_awc_pct,inactive_awc_pct,awc_churn_rate,awc_readiness_score
Angul,15393,15388,99.97,491,3.19,2766,17.98,12131,78.83,75,0.49,1585,10.3,13728,89.21,21.17,10.79,99.97,3.72,8.27,79623,79557,99.92,8290,10.42,13116,16.49,58151,73.09,351,0.44,1112,1.4,77996,98.04,98,829,1.04,5329,6.7,73399,92.26,1592,2.0,2351,2.96,75516,94.92,98,26.91,7.74,99.92,2.72,11.92,8201,206,58,5888,35,27,73738,0,0,0.28,0.77,0.0,5948,414,0.07,8201,8201,5572,7784,1354,949,4263,428,138,1847,79,12,768,5564,2118,0.68,0.17,0.1,0.04,0.09,0.68,0.38,,,,,,,,,,,,,,95016,94945,99.93,1689,1.0,0.02,1679,25231,24919,98.76,1684,1.0,8,74,1689,94003,8193,5878,37176,33767,8989,63,16,245,188,27,29,0,79932,79,433,56,0.001,0.005,0.001,0.09,0.06,0.0,0.85,1691,1689,2,0,0,1.0,0.0,0.0,1.0
Balangir,17217,17210,99.96,984,5.72,4303,25.0,11923,69.28,261,1.52,3215,18.68,13734,79.8,30.72,20.2,99.96,2.26,3.95,108766,108733,99.97,15972,14.69,25697,23.63,67064,61.68,271,0.25,2218,2.04,106107,97.58,137,2611,2.4,16094,14.8,90028,82.8,1524,1.4,2194,2.02,104878,96.45,137,38.32,17.2,99.97,1.61,4.81,12868,5629,2056,7387,546,430,101576,0,0,0.37,0.79,0.0,7430,1022,0.14,12868,12868,10438,12057,5454,3112,6762,2169,837,2995,405,50,2633,10396,4305,0.81,0.45,0.32,0.14,0.2,0.81,0.41,42225.0,41746.0,98.87,488.0,1897.0,36393.0,2346.0,621.0,270.0,128.0,2385.0,0.06,0.47,125983,125943,99.97,2773,1.0,0.04,2754,35713,35438,99.23,2769,1.01,14,116,2774,178006,12852,7377,53915,46747,14978,26,15,1017,866,45,29,42137,115640,41,1883,74,0.0,0.016,0.001,0.07,0.04,0.24,0.65,2797,2774,23,0,0,0.99,0.01,0.0,0.99
Balasore,14117,14113,99.97,641,4.54,2491,17.65,10981,77.81,126,0.89,1714,12.14,12273,86.96,22.19,13.03,99.97,3.51,6.67,139267,139222,99.97,19932,14.32,24072,17.29,95218,68.39,1055,0.76,3375,2.42,134393,96.53,399,2731,1.96,13415,9.64,123076,88.4,3240,2.33,4329,3.11,131254,94.28,399,31.61,11.6,99.97,2.16,7.62,13661,1575,559,10912,386,288,128358,0,0,0.35,0.75,0.0,11214,1241,0.11,13661,13661,10366,13142,4172,2715,7346,1442,457,3317,294,35,2156,10335,3918,0.76,0.32,0.2,0.09,0.16,0.76,0.38,,,,,,,,,,,,,,153384,153335,99.97,4220,1.0,0.06,4188,44951,44288,98.53,4197,1.0,15,155,4220,166644,13653,10903,66736,61417,13935,174,113,918,542,107,60,0,142088,287,1460,167,0.002,0.01,0.001,0.08,0.07,0.0,0.85,4221,4220,1,0,0,1.0,0.0,0.0,1.0
Bargarh,11599,11597,99.98,100,0.86,1477,12.74,10020,86.4,75,0.65,1090,9.4,10432,89.95,13.6,10.05,99.98,6.35,8.95,83737,83729,99.99,2643,3.16,11122,13.28,69964,83.56,423,0.51,1194,1.43,82057,98.0,55,806,0.96,5485,6.55,77438,92.49,399,0.48,741,0.88,82534,98.57,55,16.44,7.51,99.99,5.08,12.32,9359,2336,767,5995,457,353,77742,0,0,0.33,0.77,0.0,6130,723,0.12,9359,9359,7689,8786,4407,2822,4727,1790,613,1922,369,47,2236,7676,2689,0.82,0.5,0.38,0.19,0.24,0.82,0.35,,,,,,,,,,,,,,95336,95326,99.99,2919,1.0,0.04,2907,28415,28070,98.79,2912,1.0,13,127,2919,103524,9348,5982,41245,36043,10906,72,25,221,222,66,38,0,88194,97,443,104,0.001,0.005,0.001,0.09,0.06,0.0,0.85,2922,2919,3,0,0,1.0,0.0,0.0,1.0
Bhadrak,11655,11653,99.98,289,2.48,1551,13.31,9813,84.21,53,0.45,1034,8.87,10566,90.67,15.79,9.32,99.98,5.33,9.73,93263,93240,99.98,7219,7.74,11737,12.59,74284,79.67,591,0.63,1696,1.82,90789,97.37,164,1064,1.14,5369,5.76,86807,93.1,1623,1.74,2234,2.4,89219,95.69,164,20.33,6.9,99.98,3.92,13.49,9819,368,116,7413,94,76,85864,0,0,0.32,0.81,0.0,7526,726,0.1,9819,9819,6288,9215,1007,662,4881,297,103,2050,34,3,571,6269,2165,0.64,0.11,0.06,0.02,0.06,0.64,0.35,,,,,,,,,,,,,,104918,104893,99.98,2435,1.0,0.03,2410,32344,32019,99.0,2433,1.01,8,94,2435,113537,9808,7407,45711,39908,10703,112,44,280,154,53,33,0,96322,156,434,86,0.002,0.005,0.001,0.09,0.07,0.0,0.85,2438,2435,3,0,0,1.0,0.0,0.0,1.0
Boudh,6250,6246,99.94,196,3.14,1411,22.59,4639,74.27,59,0.94,936,14.99,5251,84.07,25.73,15.93,99.94,2.89,5.28,29738,29714,99.92,3487,11.74,6766,22.77,19461,65.49,97,0.33,722,2.43,28849,97.09,46,564,1.9,3115,10.48,26035,87.62,471,1.59,655,2.2,28542,96.06,46,34.51,12.38,99.92,1.9,7.08,3317,1388,826,2351,89,80,27389,0,0,0.6,0.9,0.0,2373,281,0.12,3317,3317,3264,3140,2426,1396,1712,1088,412,764,280,36,1135,3257,1965,0.98,0.77,0.64,0.37,0.34,0.98,0.6,,,,,,,,,,,,,,35988,35960,99.92,726,1.0,0.01,719,10309,10253,99.46,726,1.01,3,34,727,36202,3317,2350,14503,12337,3695,25,10,187,116,15,7,0,30535,35,303,22,0.001,0.01,0.001,0.09,0.06,0.0,0.84,727,727,0,0,0,1.0,0.0,0.0,1.0
Cuttack,18818,18816,99.99,145,0.77,1916,10.18,16755,89.05,79,0.42,1188,6.31,17549,93.27,10.95,6.73,99.99,8.13,13.86,124381,124366,99.99,6301,5.07,16374,13.17,101691,81.77,533,0.43,1541,1.24,122054,98.14,238,1163,0.94,5920,4.76,117283,94.3,2006,1.61,4174,3.36,117948,94.84,238,18.24,5.7,99.99,4.48,16.54,12009,862,125,10239,134,71,114075,0,0,0.15,0.53,0.0,10545,1092,0.1,12009,12009,11560,11606,9385,6859,6493,4447,1094,2873,1233,145,4536,11489,1962,0.96,0.81,0.68,0.43,0.38,0.96,0.17,,,,,,,,,,,,,,143199,143182,99.99,3343,1.0,0.05,3313,42976,42511,98.92,3329,1.0,16,122,3343,142938,11999,10230,62000,47417,11292,62,21,183,223,37,26,0,120709,83,406,63,0.001,0.003,0.001,0.08,0.07,0.0,0.84,3344,3343,1,0,0,1.0,0.0,0.0,1.0
Deogarh,3126,3126,100.0,79,2.53,484,15.48,2563,81.99,38,1.22,509,16.28,2579,82.5,18.01,17.5,100.0,4.55,4.71,19723,19719,99.98,1569,7.96,3843,19.49,14307,72.55,134,0.68,605,3.07,18964,96.17,16,324,1.64,2169,11.0,17226,87.36,259,1.31,288,1.46,19156,97.14,16,27.45,12.64,99.98,2.64,6.91,2110,56,32,1452,18,16,18245,0,0,0.57,0.89,0.0,1506,150,0.1,2110,2110,1265,1984,187,114,1059,62,21,472,11,3,97,1265,642,0.6,0.09,0.06,0.02,0.05,0.6,0.51,,,,,,,,,,,,,,22849,22845,99.98,800,1.0,0.01,796,6345,6091,96.0,780,0.98,3,27,800,24196,2106,1447,9493,8606,2544,30,6,89,128,28,12,0,20643,36,217,40,0.002,0.011,0.002,0.09,0.06,0.0,0.85,802,800,2,0,0,1.0,0.0,0.0,1.0
Dhenkanal,8005,7995,99.88,283,3.54,1186,14.83,6526,81.63,41,0.51,725,9.07,7229,90.42,18.37,9.58,99.88,4.44,9.44,69909,69824,99.88,7905,11.32,11471,16.43,50448,72.25,313,0.45,899,1.29,68486,98.08,126,807,1.16,4399,6.3,64618,92.54,1537,2.2,2364,3.39,65797,94.23,126,27.75,7.46,99.88,2.6,12.4,7497,421,129,5459,91,56,64436,0,0,0.31,0.62,0.0,5555,543,0.1,7497,7497,4819,6978,552,385,3515,148,32,1560,23,1,316,4814,2085,0.64,0.08,0.04,0.01,0.04,0.64,0.43,24897.0,14954.0,60.06,248.0,725.0,12766.0,963.0,252.0,24.0,8.0,973.0,0.04,0.33,77914,77819,99.88,2222,1.0,0.03,2212,22530,21362,94.82,2134,0.96,8,84,2223,109554,7493,5454,33160,31066,7515,40,25,215,117,11,9,24866,71741,65,332,20,0.001,0.005,0.0,0.07,0.05,0.23,0.65,2224,2223,1,0,0,1.0,0.0,0.0,1.0
Gajapati,8344,8343,99.99,395,4.73,2013,24.13,5935,71.14,122,1.46,1336,16.01,6885,82.52,28.86,17.47,99.99,2.47,4.72,42203,42160,99.9,6001,14.23,9090,21.56,27069,64.21,439,1.04,1383,3.28,40308,95.61,30,1182,2.8,5355,12.7,35623,84.49,623,1.48,922,2.19,40585,96.26,30,35.79,15.5,99.9,1.79,5.45,4806,701,290,3471,195,153,38702,0,0,0.41,0.78,0.0,3587,252,0.07,4806,4806,3889,4427,1928,1081,2094,678,185,735,130,17,869,3878,1999,0.81,0.44,0.32,0.18,0.18,0.81,0.52,8912.0,8730.0,97.96,178.0,369.0,7468.0,512.0,203.0,279.0,121.0,547.0,0.06,0.43,50547,50503,99.91,2443,1.0,0.03,2427,15316,14916,97.39,2413,0.99,7,70,2443,62964,4804,3460,20007,18406,7394,118,33,409,300,66,41,8893,45807,151,709,107,0.003,0.015,0.002,0.08,0.05,0.14,0.73,2443,2443,0,0,0,1.0,0.0,0.0,1.0
Ganjam,27646,27643,99.99,1242,4.49,3957,14.31,22444,81.19,115,0.42,1677,6.07,25851,93.52,18.8,6.49,99.99,4.32,14.41,221709,221663,99.98,24235,10.93,29844,13.46,167584,75.6,1193,0.54,2879,1.3,217242,98.01,349,2463,1.11,10785,4.87,208415,94.02,5083,2.29,7484,3.38,208747,94.17,349,24.39,5.98,99.98,3.1,15.72,22210,805,109,16679,394,179,205852,0,0,0.14,0.45,0.0,16551,757,0.05,22210,22210,14062,21182,3277,2267,12712,1065,316,5528,225,19,1776,14027,3215,0.63,0.15,0.08,0.04,0.08,0.63,0.23,,,,,,,,,,,,,,249355,249306,99.98,5162,1.0,0.07,5128,74580,74188,99.47,5157,1.01,24,210,5162,270811,22187,16657,107135,97977,26855,265,86,770,364,104,61,0,231967,351,1134,165,0.002,0.005,0.001,0.08,0.06,0.0,0.86,5164,5162,2,0,0,1.0,0.0,0.0,1.0
Jagatsinghpur,8934,8933,99.99,99,1.11,794,8.89,8040,90.0,37,0.41,406,4.54,8490,95.04,10.0,4.95,99.99,9.0,19.2,52175,52173,100.0,3175,6.09,5558,10.65,43440,83.26,213,0.41,652,1.25,51201,98.14,107,498,0.95,2236,4.29,49439,94.76,1003,1.92,1875,3.59,49188,94.28,107,16.74,5.24,100.0,4.97,18.08,4828,1281,241,4018,210,123,48153,0,0,0.19,0.59,0.0,4061,432,0.11,4828,4828,3506,4641,1070,654,2480,344,107,1109,62,13,538,3506,686,0.73,0.23,0.14,0.06,0.11,0.73,0.2,,,,,,,,,,,,,,61109,61106,100.0,1815,1.0,0.02,1799,16864,16346,96.93,1776,0.99,8,74,1815,61688,4812,4013,25557,21059,6247,24,13,135,75,21,6,0,52863,37,210,27,0.001,0.004,0.001,0.08,0.07,0.0,0.86,1815,1815,0,0,0,1.0,0.0,0.0,1.0
Jajapur,20081,20080,100.0,428,2.13,2596,12.93,17056,84.94,96,0.48,1565,7.79,18419,91.73,15.06,8.27,100.0,5.64,11.09,119194,119185,99.99,9241,7.75,17758,14.9,92186,77.35,399,0.33,1704,1.43,116803,98.0,279,1500,1.26,7224,6.06,110461,92.68,1943,1.63,3042,2.55,113921,95.58,279,22.65,7.32,99.99,3.42,12.66,11348,983,156,9567,326,184,109712,0,0,0.16,0.56,0.0,9678,879,0.09,11348,11348,7863,10623,1861,1281,5358,553,152,2176,102,11,1040,7826,1736,0.69,0.18,0.1,0.05,0.09,0.69,0.22,,,,,,,,,,,,,,139275,139265,99.99,2826,1.0,0.04,2807,39982,39039,97.64,2793,1.0,11,107,2826,145438,11344,9556,57799,50831,15908,65,24,397,345,66,54,0,124538,89,742,120,0.001,0.006,0.001,0.08,0.07,0.0,0.86,2826,2826,0,0,0,1.0,0.0,0.0,1.0
