district,total_active_children_registered_in_the_awc_for_the_month,total_active_children_measured_(height_&_weight)_for_the_month,measurement_efficiency_(%),severely_stunted_(n),severely_stunted_(%),moderately_stunted_(n),moderately_stunted_(%),not_stunted_(n),not_stunted_(%),sam_(n),sam_(%),mam_(n),mam_(%),not_wasted_(n),not_wasted_(%),reference_data_not_found,severely_underweight_(n),severely_underweight_(%),moderately_underweight_(n),moderately_underweight_(%),not_underweight_(n),not_underweight_(%),obese_(n),obese_(%),overweight_(n),overweight_(%),not_overweight_(n),not_overweight_(%),reference_data_not_found.1
Angul,79623,79557,99.92,8290,10.42,13116,16.49,58151,73.09,351,0.44,1112,1.4,77996,98.04,98,829,1.04,5329,6.7,73399,92.26,1592,2.0,2351,2.96,75516,94.92,98
Balangir,108766,108733,99.97,15972,14.69,25697,23.63,67064,61.68,271,0.25,2218,2.04,106107,97.58,137,2611,2.4,16094,14.8,90028,82.8,1524,1.4,2194,2.02,104878,96.45,137
Balasore,139267,139222,99.97,19932,14.32,24072,17.29,95218,68.39,1055,0.76,3375,2.42,134393,96.53,399,2731,1.96,13415,9.64,123076,88.4,3240,2.33,4329,3.11,131254,94.28,399
Bargarh,83737,83729,99.99,2643,3.16,11122,13.28,69964,83.56,423,0.51,1194,1.43,82057,98.0,55,806,0.96,5485,6.55,77438,92.49,399,0.48,741,0.88,82534,98.57,55
Bhadrak,93263,93240,99.98,7219,7.74,11737,12.59,74284,79.67,591,0.63,1696,1.82,90789,97.37,164,1064,1.14,5369,5.76,86807,93.1,1623,1.74,2234,2.4,89219,95.69,164
Boudh,29738,29714,99.92,3487,11.74,6766,22.77,19461,65.49,97,0.33,722,2.43,28849,97.09,46,564,1.9,3115,10.48,26035,87.62,471,1.59,655,2.2,28542,96.06,46
Cuttack,124381,124366,99.99,6301,5.07,16374,13.17,101691,81.77,533,0.43,1541,1.24,122054,98.14,238,1163,0.94,5920,4.76,117283,94.3,2006,1.61,4174,3.36,117948,94.84,238
Deogarh,19723,19719,99.98,1569,7.96,3843,19.49,14307,72.55,134,0.68,605,3.07,18964,96.17,16,324,1.64,2169,11.0,17226,87.36,259,1.31,288,1.46,19156,97.14,16
Dhenkanal,69909,69824,99.88,7905,11.32,11471,16.43,50448,72.25,313,0.45,899,1.29,68486,98.08,126,807,1.16,4399,6.3,64618,92.54,1537,2.2,2364,3.39,65797,94.23,126
Gajapati,42203,42160,99.9,6001,14.23,9090,21.56,27069,64.21,439,1.04,1383,3.28,40308,95.61,30,1182,2.8,5355,12.7,35623,84.49,623,1.48,922,2.19,40585,96.26,30
Ganjam,221709,221663,99.98,24235,10.93,29844,13.46,167584,75.6,1193,0.54,2879,1.3,217242,98.01,349,2463,1.11,10785,4.87,208415,94.02,5083,2.29,7484,3.38,208747,94.17,349
Jagatsinghpur,52175,52173,100.0,3175,6.09,5558,10.65,43440,83.26,213,0.41,652,1.25,51201,98.14,107,498,0.95,2236,4.29,49439,94.76,1003,1.92,1875,3.59,49188,94.28,107
Jajapur,119194,119185,99.99,9241,7.75,17758,14.9,92186,77.35,399,0.33,1704,1.43,116803,98.0,279,1500,1.26,7224,6.06,110461,92.68,1943,1.63,3042,2.55,113921,95.58,279
Jharsuguda,28451,28424,99.91,4024,14.16,5753,20.24,18647,65.6,306,1.08,763,2.68,27295,96.03,60,558,1.96,3127,11.0,24739,87.04,740,2.6,818,2.88,26806,94.31,60
Kalahandi,116641,116530,99.9,13699,11.76,23539,20.2,79292,68.04,788,0.68,3769,3.23,111760,95.91,213,2482,2.13,11962,10.27,102086,87.6,1920,1.65,2695,2.31,111702,95.86,213
Kandhamal,61030,61004,99.96,5915,9.7,14900,24.42,40189,65.88,376,0.62,1965,3.22,58623,96.1,40,1287,2.11,8124,13.32,51593,84.57,768,1.26,1174,1.92,59022,96.75,40
Kendrapara,80912,80899,99.98,2901,3.59,7290,9.01,70708,87.4,386,0.48,827,1.02,79567,98.35,119,499,0.62,3048,3.77,77352,95.62,1055,1.3,1899,2.35,77826,96.2,119
Keonjhar,129294,129254,99.97,16799,13.0,28219,21.83,84236,65.17,877,0.68,4736,3.66,123430,95.49,211,3913,3.03,19873,15.38,105468,81.6,1697,1.31,2355,1.82,124991,96.7,211
Khordha,107473,107463,99.99,5293,4.93,13437,12.5,88733,82.57,446,0.42,1556,1.45,105330,98.02,131,1071,1.0,5728,5.33,100664,93.67,1405,1.31,2812,2.62,103115,95.95,131
Koraput,114330,114192,99.88,10288,9.01,24552,21.5,79352,69.49,453,0.4,2662,2.33,110943,97.15,134,2673,2.34,14791,12.95,96728,84.71,650,0.57,1138,1.0,112270,98.32,134
Malkangiri,55614,55500,99.8,8561,15.43,16060,28.94,30879,55.64,629,1.13,2900,5.23,51862,93.45,109,2561,4.61,11712,21.1,41227,74.28,626,1.13,852,1.54,53913,97.14,109
Mayurbhanj,159521,159391,99.92,18510,11.61,36972,23.2,103909,65.19,1053,0.66,7210,4.52,150923,94.69,205,5055,3.17,27599,17.32,126737,79.51,1484,0.93,2126,1.33,155576,97.61,205
Nabarangpur,113766,113703,99.94,12162,10.7,27949,24.58,73592,64.72,506,0.45,4263,3.75,108792,95.68,142,3417,3.01,19674,17.3,90612,79.69,933,0.82,1382,1.22,111246,97.84,142
Nayagarh,51958,51892,99.87,5214,10.05,8810,16.98,37868,72.97,254,0.49,1077,2.08,50453,97.23,108,698,1.35,4127,7.95,47067,90.7,1508,2.91,2078,4.0,48198,92.88,108
Nuapada,48554,48541,99.97,3720,7.66,9791,20.17,35030,72.17,140,0.29,1062,2.19,47291,97.42,48,617,1.27,4834,9.96,43090,88.77,447,0.92,707,1.46,47339,97.52,48
Puri,84125,84122,100.0,1420,1.69,8538,10.15,74164,88.16,97,0.12,658,0.78,83267,98.98,100,304,0.36,2615,3.11,81203,96.53,640,0.76,1561,1.86,81821,97.26,100
Rayagada,81014,80982,99.96,8178,10.1,17578,21.71,55226,68.2,592,0.73,1902,2.35,78377,96.78,111,1592,1.97,8686,10.73,70704,87.31,951,1.17,1389,1.72,78531,96.97,111
Sambalpur,56329,56313,99.97,6937,12.32,13054,23.18,36322,64.5,672,1.19,2270,4.03,53323,94.69,48,1562,2.77,8717,15.48,46034,81.75,897,1.59,1339,2.38,54029,95.94,48
Subarnapur,37811,37796,99.96,5228,13.83,8057,21.32,24511,64.85,297,0.79,985,2.61,36447,96.43,67,831,2.2,4528,11.98,32437,85.82,705,1.87,908,2.4,36116,95.56,67
Sundergarh,109301,109280,99.98,9205,8.42,20974,19.19,79101,72.38,620,0.57,2650,2.42,105933,96.94,77,1760,1.61,11878,10.87,95642,87.52,1009,0.92,1850,1.69,106344,97.31,77
Total,2619812,2618571,99.95,254024,9.7,471921,18.02,1892626,72.28,14504,0.55,61235,2.34,2538865,96.96,3967,47422,1.81,257918,9.85,2313231,88.34,38738,1.48,59736,2.28,2516130,96.09,3967
